Position;miRNA ID;Plate
B24;hsa-miR-516b;Plate 2
C01;hsa-miR-518f;Plate 2
C02;hsa-miR-9*;Plate 2
C03;hsa-miR-92a-1*;Plate 2
C04;hsa-miR-92a-2*;Plate 2
C05;hsa-miR-93*;Plate 2
C06;hsa-miR-337-5p;Plate 2
C07;hsa-miR-99b;Plate 2
C08;hsa-miR-129*;Plate 2
C09;hsa-miR-136*;Plate 2
C10;hsa-miR-145*;Plate 2
C11;hsa-miR-146b-3p;Plate 2
C12;hsa-miR-1908;Plate 2
C13;hsa-miR-191*;Plate 2
C14;hsa-miR-200b*;Plate 2
C15;hsa-miR-202*;Plate 2
C16;hsa-miR-20a*;Plate 2
C17;hsa-miR-219-1-3p;Plate 2
C18;hsa-miR-221*;Plate 2
C19;hsa-miR-297;Plate 2
C20;hsa-miR-299-5p;Plate 2
C21;hsa-miR-300;Plate 2
C22;hsa-miR-302b*;Plate 2
C23;hsa-miR-30b*;Plate 2
C24;hsa-miR-320b;Plate 2
D01;hsa-miR-320d;Plate 2
D02;hsa-miR-323-5p;Plate 2
D03;hsa-miR-340*;Plate 2
D04;hsa-miR-34b;Plate 2
D05;hsa-miR-34b*;Plate 2
D06;hsa-miR-1321;Plate 2
D07;hsa-miR-363*;Plate 2
D08;hsa-miR-373*;Plate 2
D09;hsa-miR-376a*;Plate 2
D10;hsa-miR-377*;Plate 2
D11;hsa-miR-378*;Plate 2
D12;hsa-miR-380*;Plate 2
D13;hsa-miR-432*;Plate 2
D14;hsa-miR-449b;Plate 2
D15;hsa-miR-452*;Plate 2
D16;hsa-miR-454*;Plate 2
D17;hsa-miR-485-5p;Plate 2
D18;hsa-miR-488*;Plate 2
D19;hsa-miR-510;Plate 2
D20;hsa-miR-513a-3p;Plate 2
D21;hsa-miR-513b;Plate 2
D22;hsa-miR-513c;Plate 2
D23;hsa-miR-1299;Plate 2
D24;hsa-miR-519d;Plate 2
E01;hsa-miR-519e;Plate 2
E02;hsa-miR-342-5p;Plate 2
E03;hsa-miR-423-5p;Plate 2
E04;hsa-miR-526b*;Plate 2
E05;hsa-miR-539;Plate 2
E06;hsa-miR-491-3p;Plate 2
E07;hsa-miR-1301;Plate 2
E08;hsa-miR-561;Plate 2
E09;hsa-miR-570;Plate 2
E10;hsa-miR-628-5p;Plate 2
E11;hsa-miR-574-3p;Plate 2
E12;hsa-miR-875-5p;Plate 2
E13;hsa-miR-1302;Plate 2
E14;hsa-miR-1322;Plate 2
E15;hsa-miR-1278;Plate 2
E16;hsa-miR-1279;Plate 2
E17;hsa-miR-1280;Plate 2
E18;hsa-miR-1281;Plate 2
E19;hsa-miR-1282;Plate 2
E20;hsa-miR-1283;Plate 2
E21;hsa-miR-1284;Plate 2
E22;hsa-miR-1323;Plate 2
E23;hsa-miR-1285;Plate 2
E24;hsa-miR-1286;Plate 2
F01;hsa-miR-1287;Plate 2
F02;hsa-miR-1288;Plate 2
F03;hsa-miR-1303;Plate 2
F04;hsa-miR-708;Plate 2
F05;hsa-miR-708*;Plate 2
F06;hsa-miR-1289;Plate 2
F07;hsa-miR-1228*;Plate 2
F08;hsa-miR-1290;Plate 2
F09;hsa-miR-99b*;Plate 2
F10;hsa-miR-1178;Plate 2
F11;hsa-miR-1179;Plate 2
F12;hsa-miR-1180;Plate 2
F13;hsa-miR-1182;Plate 2
F14;hsa-miR-1183;Plate 2
F15;hsa-miR-1184;Plate 2
F16;hsa-miR-1185;Plate 2
F17;hsa-miR-1203;Plate 2
F18;hsa-miR-1204;Plate 2
F19;hsa-miR-1205;Plate 2
F20;hsa-miR-1206;Plate 2
F21;hsa-miR-1207-3p;Plate 2
F22;hsa-miR-1207-5p;Plate 2
F23;hsa-miR-1208;Plate 2
F24;hsa-miR-1224-3p;Plate 2
G01;hsa-miR-1224-5p;Plate 2
G02;hsa-miR-1226;Plate 2
G03;hsa-miR-132*;Plate 2
G04;hsa-miR-135b*;Plate 2
G05;hsa-miR-143*;Plate 2
G06;hsa-miR-185*;Plate 2
G07;hsa-miR-186*;Plate 2
G08;hsa-miR-205*;Plate 2
G09;hsa-miR-222*;Plate 2
G10;hsa-miR-224*;Plate 2
G11;hsa-miR-31*;Plate 2
G12;hsa-miR-379*;Plate 2
G13;hsa-miR-450b-3p;Plate 2
G14;hsa-miR-491-5p;Plate 2
G15;hsa-miR-541;Plate 2
G16;hsa-miR-541*;Plate 2
G17;hsa-miR-548e;Plate 2
G18;hsa-miR-548h;Plate 2
G19;hsa-miR-548i;Plate 2
G20;hsa-miR-548j;Plate 2
G21;hsa-miR-548k;Plate 2
G22;hsa-miR-548l;Plate 2
G23;hsa-miR-548m;Plate 2
G24;hsa-miR-548o;Plate 2
H01;hsa-miR-573;Plate 2
H02;hsa-miR-577;Plate 2
H03;hsa-miR-593;Plate 2
H04;hsa-miR-1324;Plate 2
H05;hsa-miR-609;Plate 2
H06;hsa-miR-627;Plate 2
H07;hsa-miR-629*;Plate 2
H08;hsa-miR-653;Plate 2
H09;hsa-miR-654-3p;Plate 2
H10;hsa-miR-664;Plate 2
H11;hsa-miR-675;Plate 2
H12;hsa-miR-675*;Plate 2
H13;hsa-miR-720;Plate 2
H14;hsa-miR-767-3p;Plate 2
H15;hsa-miR-1291;Plate 2
H16;hsa-miR-1468;Plate 2
H17;hsa-miR-876-3p;Plate 2
H18;hsa-miR-888;Plate 2
H19;hsa-miR-888*;Plate 2
H20;hsa-miR-889;Plate 2
H21;hsa-miR-891a;Plate 2
H22;hsa-miR-891b;Plate 2
H23;hsa-miR-920;Plate 2
H24;hsa-miR-922;Plate 2
I01;hsa-miR-92b*;Plate 2
I02;hsa-miR-936;Plate 2
I03;hsa-miR-1294;Plate 2
I04;hsa-miR-1295;Plate 2
I05;hsa-miR-1296;Plate 2
I06;hsa-miR-1297;Plate 2
I07;hsa-miR-943;Plate 2
I08;hsa-miR-1298;Plate 2
I09;hsa-miR-96*;Plate 2
I10;hsa-miR-103a-2*;Plate 2
I11;hsa-miR-105*;Plate 2
I12;hsa-miR-106a*;Plate 2
I13;hsa-miR-1197;Plate 2
I14;hsa-miR-122*;Plate 2
I15;hsa-miR-1227;Plate 2
I16;hsa-miR-1231;Plate 2
I17;hsa-miR-1233;Plate 2
I18;hsa-miR-1236;Plate 2
I19;hsa-miR-1237;Plate 2
I20;hsa-miR-1238;Plate 2
I21;hsa-miR-124*;Plate 2
I22;hsa-miR-1243;Plate 2
I23;hsa-miR-1244;Plate 2
I24;hsa-miR-1245;Plate 2
J01;hsa-miR-1247;Plate 2
J02;hsa-miR-1249;Plate 2
J03;hsa-miR-1250;Plate 2
J04;hsa-miR-1251;Plate 2
J05;hsa-miR-1252;Plate 2
J06;hsa-miR-1253;Plate 2
J07;hsa-miR-144*;Plate 2
J08;hsa-miR-146a*;Plate 2
J09;hsa-miR-1471;Plate 2
J10;hsa-miR-148a*;Plate 2
J11;hsa-miR-148b*;Plate 2
J12;hsa-miR-154*;Plate 2
J13;hsa-miR-155*;Plate 2
J14;hsa-miR-1537;Plate 2
J15;hsa-miR-18b*;Plate 2
J16;hsa-miR-192*;Plate 2
J17;hsa-miR-194*;Plate 2
J18;hsa-miR-195*;Plate 2
J19;hsa-miR-196b*;Plate 2
J20;hsa-miR-20b*;Plate 2
J21;hsa-miR-218-1*;Plate 2
J22;hsa-miR-218-2*;Plate 2
J23;hsa-miR-223*;Plate 2
J24;hsa-miR-23a*;Plate 2
K01;hsa-miR-23b*;Plate 2
K02;hsa-miR-26a-1*;Plate 2
K03;hsa-miR-26a-2*;Plate 2
K04;hsa-miR-32*;Plate 2
K05;hsa-miR-335*;Plate 2
K06;hsa-miR-33a*;Plate 2
K07;hsa-miR-34a*;Plate 2
K08;hsa-miR-374a*;Plate 2
K09;hsa-miR-449b*;Plate 2
K10;hsa-miR-497*;Plate 2
K11;hsa-miR-499-3p;Plate 2
K12;hsa-miR-499-5p;Plate 2
K13;hsa-miR-505*;Plate 2
K14;hsa-miR-545*;Plate 2
K15;hsa-miR-548g;Plate 2
K16;hsa-miR-548n;Plate 2
K17;hsa-miR-556-3p;Plate 2
K18;hsa-miR-569;Plate 2
K19;hsa-miR-596;Plate 2
K20;hsa-miR-1538;Plate 2
K21;hsa-miR-599;Plate 2
K22;hsa-miR-601;Plate 2
K23;hsa-miR-606;Plate 2
K24;hsa-miR-615-5p;Plate 2
L01;hsa-miR-620;Plate 2
L02;hsa-miR-625*;Plate 2
L03;hsa-miR-631;Plate 2
L04;hsa-miR-634;Plate 2
L05;hsa-miR-1539;Plate 2
L06;hsa-miR-655;Plate 2
L07;hsa-miR-656;Plate 2
L08;hsa-miR-661;Plate 2
L09;hsa-miR-664*;Plate 2
L10;hsa-miR-7-1*;Plate 2
L11;hsa-miR-7-2*;Plate 2
L12;hsa-miR-1825;Plate 2
L13;hsa-miR-892a;Plate 2
L14;hsa-miR-99a*;Plate 2
L15;hsa-miR-1255a;Plate 2
L16;hsa-miR-1256;Plate 2
L17;hsa-miR-1257;Plate 2
L18;hsa-miR-1258;Plate 2
L19;hsa-miR-1260;Plate 2
L20;hsa-miR-1262;Plate 2
L21;hsa-miR-1263;Plate 2
L22;hsa-miR-1264;Plate 2
L23;hsa-miR-1265;Plate 2
L24;hsa-miR-1266;Plate 2
M01;hsa-miR-1267;Plate 2
M02;hsa-miR-1269;Plate 2
M03;hsa-miR-1270;Plate 2
M04;hsa-miR-1271;Plate 2
M05;hsa-miR-1272;Plate 2
M06;hsa-miR-1273;Plate 2
M07;hsa-miR-1276;Plate 2
M08;hsa-miR-1277;Plate 2
M09;hsa-miR-544b;Plate 2
M10;hsa-miR-3193;Plate 2
M11;hsa-miR-592;Plate 2
M12;hsa-miR-3159;Plate 2
M13;hsa-miR-2115;Plate 2
M14;hsa-miR-302d;Plate 2
M15;hsa-miR-548u;Plate 2
M16;hsa-miR-3190;Plate 2
M17;hsa-miR-765;Plate 2
M18;hsa-miR-3690;Plate 2
M19;hsa-miR-200c*;Plate 2
M20;hsa-miR-3150a-3p;Plate 2
M21;hsa-miR-3153;Plate 2
M22;hsa-miR-4278;Plate 2
M23;hsa-miR-3151;Plate 2
M24;hsa-miR-3157-5p;Plate 2
N01;hsa-miR-3148;Plate 2
N02;hsa-miR-4317;Plate 2
N03;hsa-miR-3133;Plate 2
N04;hsa-miR-3136-5p;Plate 2
N05;hsa-miR-516a-5p;Plate 2
N06;hsa-miR-3614-3p;Plate 2
N07;hsa-miR-323b-5p;Plate 2
N08;hsa-miR-3131;Plate 2
N09;hsa-miR-4297;Plate 2
N10;hsa-miR-548b-5p;Plate 2
N11;hsa-miR-3129-5p;Plate 2
N12;hsa-miR-3191;Plate 2
N13;hsa-miR-183*;Plate 2
N14;hsa-miR-3916;Plate 2
N15;hsa-miR-19b-1*;Plate 2
N16;hsa-miR-2114;Plate 2
N17;hsa-miR-181a-2*;Plate 2
N18;hsa-miR-4298;Plate 2
N19;hsa-miR-367;Plate 2
N20;hsa-miR-3924;Plate 2
N21;hsa-miR-3655;Plate 2
N22;hsa-miR-3152-3p;Plate 2
N23;hsa-miR-3144-5p;Plate 2
N24;hsa-miR-500a;Plate 2
O01;hsa-miR-3673;Plate 2
O02;hsa-miR-3180-3p;Plate 2
O03;hsa-miR-3145-3p;Plate 2
O04;hsa-miR-3657;Plate 2
O05;hsa-miR-3941;Plate 2
