"","x"
"1317","HIPK3"
"1318","HNRNPA1"
"1319","INHBA"
"1320","LRRC58"
"1321","MFAP3"
"1322","MYBL1"
"1323","NR2F2"
"1324","RHOB"
"1325","RMND5A"
"1326","SFT2D2"
"1327","SKIL"
"1328","SLC30A1"
"1329","TGIF2"
"1330","TM9SF3"
"1331","TNFSF15"
"1332","TOMM20"
"1333","TOR1AIP2"
"1334","TRIB2"
"1335","TSPAN3"
"1336","UGCG"
"1337","MAP2K3"
"1338","MEF2D"
"1339","CDKN1A"
"1340","AFF4"
"1341","AHNAK"
"1342","CAP1"
"1343","CASP3"
"1344","CDC42SE2"
"1345","CEBPB"
"1346","CEBPD"
"1347","COL4A1"
"1348","CSE1L"
"1349","CSNK1A1"
"1350","DDX3X"
"1351","DNAJC16"
"1352","DNAJC27"
"1353","FAM32A"
"1354","GMNN"
"1355","HOXA9"
"1356","ISY1"
"1357","LBR"
"1358","MAZ"
"1359","MTHFD2"
"1360","NPTX1"
"1361","NR3C1"
"1362","PAXBP1"
"1363","PNPO"
"1364","POLR2D"
"1365","PPP2CB"
"1366","PPTC7"
"1367","RBBP7"
"1368","RBMXL1"
"1369","RGMB"
"1370","RIF1"
"1371","RND3"
"1372","SCD"
